evaluation_row_id,candidate_id,alert_id,market_id,event_id,event_family_id,category_key,decision_timestamp,feature_schema_version,candidate_severity_score,alert_severity_rank,has_alert,has_resolution,rule_count,fresh_wallet_count,fresh_wallet_notional_share,directional_imbalance,concentration_ratio,probability_velocity,probability_acceleration,volume_acceleration,market_status_closed,evidence_state,coverage_status,direction,label_success,label_available,liquidity_bucket,event_family_holdout,category_holdout,time_holdout,probability_velocity_abs,probability_acceleration_abs,dataset_partition
candidate:092de25331ca4f1ca467259b93cca57b,092de25331ca4f1ca467259b93cca57b,4d69be056cae415baaebd1aa08229db0,phase10_holdout_market_train_001,phase10_holdout_event_train_001,phase10_holdout_event_train_001,crypto,2026-01-15T05:02:45+00:00,phase6_features_v1,0.63,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_3_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:8fa8b0d1ac5a4f3cb43778e7c7ced715,8fa8b0d1ac5a4f3cb43778e7c7ced715,26aaa21d4b244bacb3cc3384da48068f,phase10_holdout_market_train_002,phase10_holdout_event_train_002,phase10_holdout_event_train_002,macro,2026-01-15T05:04:15+00:00,phase6_features_v1,0.64,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_4_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:42cf12f2ff954b1b9ce048634e050fab,42cf12f2ff954b1b9ce048634e050fab,e19675d84af04c969754a289487fd6fd,phase10_holdout_market_train_003,phase10_holdout_event_train_003,phase10_holdout_event_train_003,politics,2026-01-15T05:05:45+00:00,phase6_features_v1,0.65,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_5_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:b0f3517dacc440bba639318ca0fe8969,b0f3517dacc440bba639318ca0fe8969,624e833c58194029b43fd160d050be5a,phase10_holdout_market_train_004,phase10_holdout_event_train_004,phase10_holdout_event_train_004,sports,2026-01-15T05:07:15+00:00,phase6_features_v1,0.66,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_1_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:d293101e77b04017bb0cc3ba33030a31,d293101e77b04017bb0cc3ba33030a31,8a6efbf0bdf3445f88e19960957cb7df,phase10_holdout_market_train_005,phase10_holdout_event_train_005,phase10_holdout_event_train_005,crypto,2026-01-15T05:08:45+00:00,phase6_features_v1,0.67,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_2_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:4b5f70c6bdda40d08da5880421e011de,4b5f70c6bdda40d08da5880421e011de,112079dcbbbd41e992314a7d3ac21801,phase10_holdout_market_train_006,phase10_holdout_event_train_006,phase10_holdout_event_train_006,macro,2026-01-15T05:10:15+00:00,phase6_features_v1,0.63,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_3_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:57b5d8e6d0704e7c8187259162fe6aaf,57b5d8e6d0704e7c8187259162fe6aaf,49e38787427943ce8f5e15c5eb553bb4,phase10_holdout_market_train_007,phase10_holdout_event_train_007,phase10_holdout_event_train_007,politics,2026-01-15T05:11:45+00:00,phase6_features_v1,0.64,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_4_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:8277f4df64b544a8a0c56303d44a4367,8277f4df64b544a8a0c56303d44a4367,7fe831f27d654b85b7cd9a75a979badd,phase10_holdout_market_train_008,phase10_holdout_event_train_008,phase10_holdout_event_train_008,sports,2026-01-15T05:13:15+00:00,phase6_features_v1,0.65,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_5_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:33d5af7b12444052a9ce0ff86d33620b,33d5af7b12444052a9ce0ff86d33620b,737e1a877b2d477996a6652018524be7,phase10_holdout_market_train_009,phase10_holdout_event_train_009,phase10_holdout_event_train_009,crypto,2026-01-15T05:14:45+00:00,phase6_features_v1,0.66,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_1_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:e93d8a2d67db4bfc8f06d36a185b642e,e93d8a2d67db4bfc8f06d36a185b642e,ac77bda6169a4f3babcfae3eefeebc44,phase10_holdout_market_train_010,phase10_holdout_event_train_010,phase10_holdout_event_train_010,macro,2026-01-15T05:16:15+00:00,phase6_features_v1,0.67,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_2_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:950184795b4147a5ad9cfee7262c9553,950184795b4147a5ad9cfee7262c9553,e98e88c2ea2e41a180ca22fd884a8af7,phase10_holdout_market_train_011,phase10_holdout_event_train_011,phase10_holdout_event_train_011,politics,2026-01-15T05:17:45+00:00,phase6_features_v1,0.63,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_3_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:f5f7003873c3434e8ebcb290c010a847,f5f7003873c3434e8ebcb290c010a847,c5c528fbf14e4992adb6fb59788c987b,phase10_holdout_market_train_012,phase10_holdout_event_train_012,phase10_holdout_event_train_012,sports,2026-01-15T05:19:15+00:00,phase6_features_v1,0.64,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_4_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:b8ca37957a624bc4b3419ee266f5ea3c,b8ca37957a624bc4b3419ee266f5ea3c,7542cd5414f24cda8e4e50abaf88353a,phase10_holdout_market_train_013,phase10_holdout_event_train_013,phase10_holdout_event_train_013,crypto,2026-01-15T05:20:45+00:00,phase6_features_v1,0.65,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_5_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:d747f8b5af24406f9d3abea47cfd6ef6,d747f8b5af24406f9d3abea47cfd6ef6,55c36ebe0a9c407fab2234c50909c188,phase10_holdout_market_train_014,phase10_holdout_event_train_014,phase10_holdout_event_train_014,macro,2026-01-15T05:22:15+00:00,phase6_features_v1,0.66,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_1_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:ea4a7ba9cdbe4abe81111991005af6ad,ea4a7ba9cdbe4abe81111991005af6ad,b27c255c45cf40afbd9ac1db90c89428,phase10_holdout_market_train_015,phase10_holdout_event_train_015,phase10_holdout_event_train_015,politics,2026-01-15T05:23:45+00:00,phase6_features_v1,0.67,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_2_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:abc80593306b4147b912709d451ef7d7,abc80593306b4147b912709d451ef7d7,ccc7d6c0177c44cd9409642bc5973fb1,phase10_holdout_market_train_016,phase10_holdout_event_train_016,phase10_holdout_event_train_016,sports,2026-01-15T05:25:15+00:00,phase6_features_v1,0.63,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_3_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
