evaluation_row_id,candidate_id,alert_id,market_id,event_id,event_family_id,category_key,decision_timestamp,feature_schema_version,candidate_severity_score,alert_severity_rank,has_alert,has_resolution,rule_count,fresh_wallet_count,fresh_wallet_notional_share,directional_imbalance,concentration_ratio,probability_velocity,probability_acceleration,volume_acceleration,market_status_closed,evidence_state,coverage_status,direction,label_success,label_available,liquidity_bucket,event_family_holdout,category_holdout,time_holdout,probability_velocity_abs,probability_acceleration_abs,dataset_partition
candidate:33fe12cee53d4cfaac0044cfdd885348,33fe12cee53d4cfaac0044cfdd885348,d4d0cdb5102843f79e318b79cb9ef8f3,phase10_holdout_market_train_001,phase10_holdout_event_train_001,phase10_holdout_event_train_001,crypto,2026-01-15T05:02:45+00:00,phase6_features_v1,0.63,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_3_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:c3e2ec25033a436fab84e2f25ae31bfd,c3e2ec25033a436fab84e2f25ae31bfd,883e299a1275450e9bb18e8e4fe871a2,phase10_holdout_market_train_002,phase10_holdout_event_train_002,phase10_holdout_event_train_002,macro,2026-01-15T05:04:15+00:00,phase6_features_v1,0.64,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_4_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:d795e15eaeb241d5baeb5ca51eec7570,d795e15eaeb241d5baeb5ca51eec7570,3b212bcf324d4adc85c4a68e7dfb054d,phase10_holdout_market_train_003,phase10_holdout_event_train_003,phase10_holdout_event_train_003,politics,2026-01-15T05:05:45+00:00,phase6_features_v1,0.65,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_5_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:567712bd3173424cb8605c86cf1f53e3,567712bd3173424cb8605c86cf1f53e3,87733e897b9d4a528c3369ef227a838b,phase10_holdout_market_train_004,phase10_holdout_event_train_004,phase10_holdout_event_train_004,sports,2026-01-15T05:07:15+00:00,phase6_features_v1,0.66,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_1_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:4ab3534cecdd4a15b8b84dd47c88b08e,4ab3534cecdd4a15b8b84dd47c88b08e,50d22f0cf61c431a90515105f2f1148f,phase10_holdout_market_train_005,phase10_holdout_event_train_005,phase10_holdout_event_train_005,crypto,2026-01-15T05:08:45+00:00,phase6_features_v1,0.67,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_2_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:d88414dca46a4a469dce55f08ec2d00b,d88414dca46a4a469dce55f08ec2d00b,5778ba8383054079ba3829a5623395dc,phase10_holdout_market_train_006,phase10_holdout_event_train_006,phase10_holdout_event_train_006,macro,2026-01-15T05:10:15+00:00,phase6_features_v1,0.63,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_3_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:4c1281b5d5a0447fa09f24dcb87fbb67,4c1281b5d5a0447fa09f24dcb87fbb67,c374b98c7c4345f19e2772ab9106fe1c,phase10_holdout_market_train_007,phase10_holdout_event_train_007,phase10_holdout_event_train_007,politics,2026-01-15T05:11:45+00:00,phase6_features_v1,0.64,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_4_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:b286bd1037834242ae1b9f6043eaac37,b286bd1037834242ae1b9f6043eaac37,95cc0c878e0340ab991bcaf21701aca4,phase10_holdout_market_train_008,phase10_holdout_event_train_008,phase10_holdout_event_train_008,sports,2026-01-15T05:13:15+00:00,phase6_features_v1,0.65,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_5_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:007c8028f65a4319980d6269597507d1,007c8028f65a4319980d6269597507d1,8ae79f83670746939e9d3693a1acb514,phase10_holdout_market_train_009,phase10_holdout_event_train_009,phase10_holdout_event_train_009,crypto,2026-01-15T05:14:45+00:00,phase6_features_v1,0.66,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_1_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:d04f01ea9ec84443afe85afa657e3fd8,d04f01ea9ec84443afe85afa657e3fd8,c419f5f64c154e39b2672d570e01e143,phase10_holdout_market_train_010,phase10_holdout_event_train_010,phase10_holdout_event_train_010,macro,2026-01-15T05:16:15+00:00,phase6_features_v1,0.67,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_2_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:4416a61cba2b4986a03cfb9f4c983109,4416a61cba2b4986a03cfb9f4c983109,073b8a80502e462f9bd59fcec84b416b,phase10_holdout_market_train_011,phase10_holdout_event_train_011,phase10_holdout_event_train_011,politics,2026-01-15T05:17:45+00:00,phase6_features_v1,0.63,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_3_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:8cc66868f11241c5976ab749733a320a,8cc66868f11241c5976ab749733a320a,b7013da98048454ba2bbf8f14754d5c7,phase10_holdout_market_train_012,phase10_holdout_event_train_012,phase10_holdout_event_train_012,sports,2026-01-15T05:19:15+00:00,phase6_features_v1,0.64,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_4_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:d9e6548ac7884af1815deb813cf7f4f5,d9e6548ac7884af1815deb813cf7f4f5,7bbbeb98ddee452c8fba13e9370fac66,phase10_holdout_market_train_013,phase10_holdout_event_train_013,phase10_holdout_event_train_013,crypto,2026-01-15T05:20:45+00:00,phase6_features_v1,0.65,3,1,1,3,5,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,1.0,True,tight,fold_5_of_5,crypto,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:9c27bec7a059498894d20ea68e494bbf,9c27bec7a059498894d20ea68e494bbf,868e2f27fa304d4eb7182b035a3413b6,phase10_holdout_market_train_014,phase10_holdout_event_train_014,phase10_holdout_event_train_014,macro,2026-01-15T05:22:15+00:00,phase6_features_v1,0.66,3,1,1,3,5,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,0.0,True,tight,fold_1_of_5,macro,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:cd73eba67e234294af06ebabbea6784f,cd73eba67e234294af06ebabbea6784f,71b6f64fc1d444e7bfdcef4267b9aa9e,phase10_holdout_market_train_015,phase10_holdout_event_train_015,phase10_holdout_event_train_015,politics,2026-01-15T05:23:45+00:00,phase6_features_v1,0.67,3,1,1,3,3,0.62,0.74,0.54,0.032,0.012,1.62,0,weakly_public,complete,YES,0.0,True,tight,fold_2_of_5,politics,time_block:2026-01-07:2026-02-06,0.032,0.012,train
candidate:8623c5bfa4c548ee932e9b41922daca6,8623c5bfa4c548ee932e9b41922daca6,06d6df74cad041029eacf6ebdcce705b,phase10_holdout_market_train_016,phase10_holdout_event_train_016,phase10_holdout_event_train_016,sports,2026-01-15T05:25:15+00:00,phase6_features_v1,0.63,3,1,1,3,3,0.62,0.74,0.72,-0.032,-0.012,1.62,0,weakly_public,complete,NO,1.0,True,tight,fold_3_of_5,sports,time_block:2026-01-07:2026-02-06,0.032,0.012,train
